address,name,account_type,entity,labels,tags
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,FTX Exchange,eoa,exchange,1,
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,FTX Exchange 2,eoa,exchange,1,
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,eoa,exchange,1,
0x7793cd85c11a924478d358d49b05b37e91b5810f,Gate.io 2,eoa,exchange,1,
0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,Gate.io 3,eoa,exchange,1,
0xd793281182a0e3e023116004778f45c29fc14f19,Gate.io: Contract,eoa,exchange,1,
0x9f5ca0012b9b72e8f3db57092a6f26bf4f13dc69,GBX,eoa,exchange,1,
0xd24400ae8bfebb18ca49be86258a3c749cf46853,Gemini,eoa,exchange,1,
0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,Gemini 2,eoa,exchange,1,
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini 3,eoa,exchange,1,
0x07ee55aa48bb72dcc6e9d78256648910de513eca,Gemini: Contract 1,eoa,exchange,1,
0x9fb01a2584aac5aae3fab1ed25f86c5269b32999,GGBTC.com,eoa,exchange,1,
0x9c67e141c0472115aa1b98bd0088418be68fd249,HitBTC 1,eoa,exchange,1,
0x59a5208b32e627891c389ebafc644145224006e8,HitBTC 2,eoa,exchange,1,
0xa12431d0b9db640034b0cdfceef9cce161e62be4,HitBTC 3,eoa,exchange,1,
0x980a4732c8855ffc8112e6746bd62095b4c2228f,Hoo.com,eoa,exchange,1,
0xd0ec209ad2134899148bec8aef905a6e9997456a,Hoo.com 2,eoa,exchange,1,
0x993b7fcba51d8f75c2dfaec0d17b6649ee0c9068,Hoo.com 3,eoa,exchange,1,
0xec293b9c56f06c8f71392269313d7e2da681d9ac,Hoo.com 4,eoa,exchange,1,
0x0093e5f2a850268c0ca3093c7ea53731296487eb,Hoo.com 5,eoa,exchange,1,
0x008932be50098089c6a075d35f4b5182ee549f8a,Hoo.com 6,eoa,exchange,1,
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,Hotbit,eoa,exchange,1,
0x8533a0bd9310eb63e7cc8e1116c18a3d67b1976a,Hotbit 2,eoa,exchange,1,
0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,Hotbit 3,eoa,exchange,1,
0xab5c66752a9e8167967685f1450532fb96d5d24f,Huobi 1,eoa,exchange,1,
0xe93381fb4c4f14bda253907b18fad305d799241a,Huobi 10,eoa,exchange,1,
0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,Huobi 11,eoa,exchange,1,
0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi 12,eoa,exchange,1,
0x32598293906b5b17c27d657db3ad2c9b3f3e4265,Huobi 13,eoa,exchange,1,
0x5861b8446a2f6e19a067874c133f04c578928727,Huobi 14,eoa,exchange,1,
0x926fc576b7facf6ae2d08ee2d4734c134a743988,Huobi 15,eoa,exchange,1,
0xeec606a66edb6f497662ea31b5eb1610da87ab5f,Huobi 16,eoa,exchange,1,
0x7ef35bb398e0416b81b019fea395219b65c52164,Huobi 17,eoa,exchange,1,
0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,Huobi 18,eoa,exchange,1,
0xd8a83b72377476d0a66683cde20a8aad0b628713,Huobi 19,eoa,exchange,1,
