address,name,account_type,type
0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,Huobi 11,eoa,Exchange
0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi 12,eoa,Exchange
0x1b93129f05cc2e840135aab154223c75097b69bf,Huobi 13,eoa,Exchange
0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,Huobi 14,eoa,Exchange
0x956e0dbecc0e873d34a5e39b25f364b2ca036730,Huobi 15,eoa,Exchange
0xeec606a66edb6f497662ea31b5eb1610da87ab5f,Huobi 16,eoa,Exchange
0x7ef35bb398e0416b81b019fea395219b65c52164,Huobi 17,eoa,Exchange
0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,Huobi 2,eoa,Exchange
0xfdb16996831753d5331ff813c29a93c76834a0ad,Huobi 3,eoa,Exchange
0xeee28d484628d41a82d01e21d12e2e78d69920da,Huobi 4,eoa,Exchange
0x5c985e89dde482efe97ea9f1950ad149eb73829b,Huobi 5,eoa,Exchange
0xdc76cd25977e0a5ae17155770273ad58648900d3,Huobi 6,eoa,Exchange
0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,Huobi 7,eoa,Exchange
0xa8660c8ffd6d578f657b72c0c811284aef0b735e,Huobi 8,eoa,Exchange
0x1062a747393198f70f71ec65a582423dba7e5ab3,Huobi 9,eoa,Exchange
0xe3c274d2e2180afd89eda4d25320cff08aadb680,Huobi x15,eoa,Exchange
0x99fe5d6383289cdd56e54fc0baf7f67c957a8888,Huobi x13,eoa,Exchange
0xdf95de30cdff4381b69f9e4fa8dddce31a0128df,Huobi x3,eoa,Exchange
0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,IDEX_1,contract,Exchange
0xa7a7899d944fe658c4b0a1803bab2f490bd3849e,IDEX_2,eoa,Exchange
0x3c11c3025ce387d76c2eddf1493ec55a8cc2a0f7,Idax.global,eoa,Exchange
0x51836a753e344257b361519e948ffcaf5fb8d521,Indodax 1,eoa,Exchange
0x9cbadd5ce7e14742f70414a6dcbd4e7bb8712719,Indodax 2,eoa,Exchange
0x04f062809b244e37e7fdc21d9409469c989c2342,Joyso,contract,Exchange
